epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.082604169845581,0.150692794328383,1,0.150692794328383,0,104.7047640630044,37.857551156077534,142.59511845209636
2,1.7131187915802002,0.21061588140039322,2,0.21061588140039322,0,107.87731418502517,37.67696891003288,145.5745108560659
3,1.3252133131027222,0.17558368393960969,2,0.21061588140039322,1,106.24652693397366,38.002904085908085,144.24947175895795
4,1.2686705589294434,0.2165115548865674,4,0.2165115548865674,0,106.63830579211935,37.60925666615367,144.27324345288798
5,1.1460468769073486,0.214497321376186,4,0.2165115548865674,1,108.23058635299094,38.119636044837534,146.35023567685857
6,1.1751376390457153,0.2819821467327226,6,0.2819821467327226,0,104.49285830697045,37.60959002911113,142.12475605495274
7,1.1356576681137085,0.28529828015751135,7,0.28529828015751135,0,106.41989278397523,37.50608849385753,143.94806565111503
8,1.0169422626495361,0.2578579778104525,7,0.28529828015751135,1,106.40363384783268,39.8246899000369,146.2283380269073
9,0.9717386364936829,0.20911701475719768,7,0.28529828015751135,2,112.46122292499058,37.734036372974515,150.1952752971556
10,1.0746936798095703,0.22880918613603773,7,0.28529828015751135,3,106.86730087106116,38.855022738920525,145.72233822010458
11,0.8757539987564087,0.30237108418987535,11,0.30237108418987535,0,108.25405258894898,37.647044256096706,145.92954358900897
12,0.9032242298126221,0.21523317846130055,11,0.30237108418987535,1,107.61227881303057,39.2294074150268,146.84170054690912
13,0.9784277081489563,0.32607366236911584,13,0.32607366236911584,0,103.75682309595868,37.606743037933484,141.3852397040464
14,0.8606541752815247,0.20553520982016715,13,0.32607366236911584,1,106.99921961501241,37.4903141669929,144.4895486710593
15,0.9097943902015686,0.26783343422289174,13,0.32607366236911584,2,103.78935159393586,37.62420742493123,141.4135748790577
16,0.8749986886978149,0.25575680604773565,13,0.32607366236911584,3,105.29114873404615,37.482201241189614,142.77336581493728
17,0.8470616340637207,0.21102079009806865,13,0.32607366236911584,4,106.07365327491425,37.677134117111564,143.75080218096264
18,0.8796267509460449,0.34271329124335603,18,0.34271329124335603,0,105.46992022404447,37.829462185967714,143.32853849511594
19,0.8405712842941284,0.24393785639243726,18,0.34271329124335603,1,106.11117107607424,37.6747150151059,143.78589338087477
20,0.7776668071746826,0.26331248169441135,18,0.34271329124335603,2,107.18611773801968,37.84618430887349,145.03230923600495
21,0.8210692405700684,0.30780250055144,18,0.34271329124335603,3,107.93347053416073,37.45258239610121,145.38605998898856
22,0.8147897720336914,0.3217450536202992,18,0.34271329124335603,4,105.46514649107121,38.210218579974025,143.67537195188925
23,0.7596926093101501,0.35868717751695434,23,0.35868717751695434,0,102.44070667400956,37.51611475716345,139.98370258021168
24,0.7689758539199829,0.25523683223408977,23,0.35868717751695434,1,101.28667298494838,37.42773040593602,138.71441842103377
25,0.7148800492286682,0.38890826439710935,25,0.38890826439710935,0,102.43429031199776,37.48972153989598,139.9444773690775
26,0.7969347834587097,0.28941728533796696,25,0.38890826439710935,1,106.94197563896887,38.0446390369907,144.9866216860246
27,0.7251721620559692,0.3189525299206596,25,0.38890826439710935,2,109.11744668404572,39.10790189309046,148.22535600606352
28,0.7183744311332703,0.26522711659038645,25,0.38890826439710935,3,103.00506202597171,37.63584205089137,140.64091285597533
29,0.665569007396698,0.36652388975405825,25,0.38890826439710935,4,105.4111985701602,37.71136179496534,143.12257492402568
30,0.7437294125556946,0.3393235926072762,25,0.38890826439710935,5,106.0751961490605,37.6176035059616,143.6928196370136
