domain,role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,purple,task,65346,0.3920948011675274,0.4211661447531308,0.7053310582333943,0.677195237658005
CR,purple,social,17295,-0.0013409901192475279,0.0009173100365704997,0.0005606854028951675,0.0002891008962127783
CR,yellow,task,0,nan,nan,nan,nan
CR,yellow,social,0,nan,nan,nan,nan
