domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_two_head,combined,task,65346,0.23823325663887088,0.6583417500688642,"{""task"": [0.0, 0.95, 0.05]}"
CR,prob_two_head,combined,social,17295,0.004764889041929286,0.15663486556808326,"{""social"": [0.4, 0.5, 0.1]}"
