domain,role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,purple,task,65346,0.22280756326516887,0.34519715231449755,0.6729894371391801,0.6974872218651486
CR,purple,social,17295,-0.025368462746459854,0.03168808569996516,0.02207008382597251,0.04775946805435097
CR,yellow,task,0,nan,nan,nan,nan
CR,yellow,social,0,nan,nan,nan,nan
