epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.0469961166381836,0.10035012746416447,1,0.10035012746416447,0,510.58690697932616,354.2299390700646,864.849331821315
2,1.4781907796859741,0.12441941098274803,2,0.12441941098274803,0,151.46466155303642,48.997819028329104,200.48772665811703
3,1.295070767402649,0.2347183919526502,3,0.2347183919526502,0,174.6060443422757,49.490216398611665,224.12183449137956
4,1.1667903661727905,0.21017336614236184,3,0.2347183919526502,1,146.88592376420274,47.289559287019074,194.17979810526595
5,1.157773733139038,0.167304831673085,3,0.2347183919526502,2,125.5708525441587,49.98284765286371,175.55752449994907
6,1.163740873336792,0.23227447630763134,3,0.2347183919526502,3,129.07676763972268,48.44115128181875,177.52116747712716
7,1.0043662786483765,0.21785919785062513,3,0.2347183919526502,4,127.59603500319645,48.72797713102773,176.3266596533358
8,0.9349662661552429,0.22361058943872897,3,0.2347183919526502,5,127.66018115030602,48.531511060893536,176.2012361260131
9,0.9306487441062927,0.27598509494474316,9,0.27598509494474316,0,117.0331185827963,49.1667648460716,166.2255019331351
10,0.876747727394104,0.2667710851522814,9,0.27598509494474316,1,149.06523539219052,47.938406275585294,197.00691659376025
11,0.8109112977981567,0.31025683029184653,11,0.31025683029184653,0,131.21358005469665,47.77461193082854,179.010288676247
12,0.9582028985023499,0.18195537523556296,11,0.31025683029184653,1,174.85479356022552,48.899293231312186,223.76589255407453
13,0.8523049354553223,0.2807071588011605,11,0.31025683029184653,2,133.08513396885246,48.94608075870201,182.03464113082737
14,0.8386462926864624,0.24677279259333404,11,0.31025683029184653,3,134.90192276518792,50.76454137312248,185.66924280487
15,0.780476450920105,0.32376425550092774,15,0.32376425550092774,0,129.94270593300462,50.15767162339762,180.12446625810117
16,0.760818362236023,0.2646445368616295,15,0.32376425550092774,1,130.53789207199588,49.34286965522915,179.88417431339622
17,0.8413185477256775,0.37372263750350554,17,0.37372263750350554,0,121.70863662986085,49.887279503047466,171.63042604830116
18,0.6985077261924744,0.23876162564224956,17,0.37372263750350554,1,128.878438744694,48.353380544576794,177.23536843340844
19,0.7930583357810974,0.2981152153169901,17,0.37372263750350554,2,131.60049378266558,48.86701434291899,180.47129653207958
20,0.6557393074035645,0.270042016609361,17,0.37372263750350554,3,132.76480678468943,49.79649305297062,182.56391200982034
21,0.8484944701194763,0.25416121971922867,17,0.37372263750350554,4,132.09245355799794,49.16254714829847,181.2586349020712
22,0.6948645710945129,0.3028657621534222,17,0.37372263750350554,5,135.46703285584226,49.464818285778165,184.93496426427737
23,0.6638078689575195,0.36018099292426287,17,0.37372263750350554,6,129.0323647800833,49.029770948924124,178.0655634738505
