dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8387477002470896,0.06304964063893521,0.0791314601453828,0.8458170766112277
noxij,400748,0.7360940192955806,0.05327656535344343,0.07110589028932057,0.7435642758836507
