role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.9136348809169205,0.05928621810920458,0.0758679545512933,0.9195868091660054
expert,1,488942,0.8847464839303494,0.05880282805998167,0.07602221508559615,0.8861491919011567
