dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8188196556022734,0.06555263847010533,0.0824937191118313,0.8309315032046366
noxij,400748,0.6552546392860136,0.05347296749121223,0.07733522013601513,0.7000967811087967
