dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8390537437440772,0.057155514744051415,0.07429436936279457,0.8439883921373812
noxij,400748,0.6632568442931918,0.05721509253219177,0.0767455869509379,0.6770140905225892
