epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.42176610498286005,0.7478054250541549,0.10376203080230743,0.12935855192136222,0.8128265098814772,1,0.7478054250541549,0
2,0.19946108302518503,0.7503095746429843,0.10743202004665005,0.1315444124590685,0.8207094116352707,2,0.7503095746429843,0
3,0.1699786892355378,0.8077086232496618,0.09360449460046509,0.11791073716425526,0.8470107044440361,3,0.8077086232496618,0
4,0.15745859526431383,0.7791098554650646,0.09623147047720551,0.12125473711667682,0.8089400093708123,3,0.8077086232496618,1
5,0.13936110819453623,0.8115347182716904,0.08625201906765002,0.11084529375531067,0.8428686509415446,5,0.8115347182716904,0
6,0.13392554723949573,0.7503568414344879,0.09009300580534317,0.12015985438723491,0.7961662194646983,5,0.8115347182716904,1
7,0.1265940804090073,0.7974540587479101,0.08689685157373951,0.10984444525605094,0.8267409321617896,5,0.8115347182716904,2
8,0.12229870804655019,0.8241051074306531,0.08019280513514097,0.10538015372137532,0.8321226563269009,8,0.8241051074306531,0
9,0.12075725831647417,0.8010316337439237,0.08927288742422307,0.11330433496577702,0.8463821287812046,8,0.8241051074306531,1
10,0.11156262568573454,0.8129315859763749,0.07996051646543621,0.10444983370403085,0.8355705060363813,8,0.8241051074306531,2
11,0.10840778197370358,0.8182108291587303,0.08170536240877656,0.10525672926882025,0.8352683226065172,8,0.8241051074306531,3
12,0.10262627743962985,0.8256483086482463,0.07800130100985585,0.10332288863640965,0.8305923373755907,12,0.8256483086482463,0
13,0.09808520405594982,0.8096411511606032,0.0844193104962182,0.10664042447575794,0.8432663738632318,12,0.8256483086482463,1
14,0.09344847589286405,0.8137007555835746,0.0807106765484792,0.1027709888900003,0.8398076548941972,12,0.8256483086482463,2
15,0.09096101393450552,0.8066019959070124,0.08172339522781177,0.10481971998791996,0.8305033660645623,12,0.8256483086482463,3
16,0.09062572513053667,0.8170923732884127,0.08055684551710222,0.10468147441156979,0.8280808847559352,12,0.8256483086482463,4
17,0.08377165069330984,0.8623123617690845,0.07253170957422536,0.09314685405724947,0.8715627255743283,17,0.8623123617690845,0
18,0.0822339679545431,0.7916445169422418,0.0887883344149643,0.11311515739708664,0.8145901712801455,17,0.8623123617690845,1
19,0.07897939199387137,0.7628252834898717,0.09038138833837706,0.11833174130673677,0.800866306384105,17,0.8623123617690845,2
20,0.07508619863595535,0.7878768356850635,0.08351661124386836,0.11084574500517723,0.8116656459614863,17,0.8623123617690845,3
21,0.07298199543312414,0.7916263051716722,0.08309713253704618,0.10650995749987652,0.8204148457116827,17,0.8623123617690845,4
22,0.07089107550347029,0.74675385916802,0.09028240681480375,0.1172257999916151,0.7901148308289723,17,0.8623123617690845,5
23,0.07010654371176193,0.7836596561318377,0.0861520197956188,0.11226291232344113,0.80709556997783,17,0.8623123617690845,6
