role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.8634203349328543,0.07084008367933031,0.09212703666725083,0.8861901882261811
expert,1,488942,0.8157720002649973,0.07422333546912042,0.09415562626012365,0.8199327259050142
