domain,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CC,task,215692,0.3251603127781581,0.4163479342372183,0.5715427581571211,0.536431578361738
CC,social,184616,0.4631320275040266,0.4579323795013989,0.6577416806026014,0.6500249165836114
