domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.3838054089031088,0.6658402962690907,"{""task"": [0.4635378420352936, 0.4364008605480194, 0.10006123781204224]}"
CR,metadata_router,combined,social,17295,0.25318666248606453,0.450361376120266,"{""social"": [0.7610702514648438, 0.15228787064552307, 0.08664198964834213]}"
