role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,325778,0.05729688604691151,0.4309695679319526,0.5953023705885538,0.10920962831022754
expert,1,325778,0.09912997280324595,0.3451408823973153,0.48546112487823606,0.1724128986325957
