dataset,n_frames,ccc,mae,rmse,pearson
noxi,403756,0.1367229268086711,0.24693870735840187,0.3512105547581241,0.19213443043474895
noxij,247800,0.03967056293995359,0.458427147670167,0.6110853123348085,0.1108916942905867
