epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.3523688316345215,0.1151050259225146,1,0.1151050259225146,0,25.9916671240062,10.94535771998926,36.947672912006965
2,1.3100517988204956,0.31405681463764784,2,0.31405681463764784,0,26.3729256419756,10.927455964003457,37.30893731501419
3,1.1699119806289673,0.40030754338114455,3,0.40030754338114455,0,26.767400431010174,10.931194575008703,37.70826622299501
4,0.9866734743118286,0.16838204794619144,3,0.40030754338114455,1,27.011615034018178,10.923598847002722,37.93535884897574
5,0.81644207239151,0.10138506387624734,3,0.40030754338114455,2,24.52072520001093,10.925423485983629,35.44630235701334
6,0.8635733723640442,0.3038330503310617,3,0.40030754338114455,3,25.497621843009256,10.906079760985449,36.4038479939918
7,0.9451925158500671,0.28852146899546377,3,0.40030754338114455,4,25.308716964995256,10.877111170993885,36.18597428500652
8,0.8401944637298584,0.2635779179777043,3,0.40030754338114455,5,26.932656393997604,10.911362210987136,37.844145164999645
9,0.7532558441162109,0.4367889545559954,9,0.4367889545559954,0,26.573972934013,10.96403579498292,37.548276558023645
10,0.8706092238426208,0.2802883573273027,9,0.4367889545559954,1,26.628098110988503,10.993811270978767,37.62205291600549
11,0.733892560005188,0.09039138296448357,9,0.4367889545559954,2,27.703150488989195,10.963989895011764,38.66728950801189
12,0.6182087659835815,0.10636241314719697,9,0.4367889545559954,3,26.70092027101782,11.014566750993254,37.71563684599823
13,0.9981169700622559,0.41989147715366537,9,0.4367889545559954,4,25.650670825009,10.941754617000697,36.59257340201293
14,0.7360345721244812,0.29149705676934157,9,0.4367889545559954,5,26.130744430003688,11.038295104983263,37.16918472200632
15,0.6892274618148804,0.33527228100600615,9,0.4367889545559954,6,26.892092527996283,10.9990277790057,37.89125839297776
