epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,1.891850233078003,0.07837782945608837,1,0.07837782945608837,0,25.979873684002087,11.040486700017937,37.033846614998765
2,1.0938348770141602,0.04150522982009225,1,0.07837782945608837,1,26.34574065898778,11.102271926007234,37.44818823901005
3,0.8709290027618408,0.07834360584240756,1,0.07837782945608837,2,26.81570079899393,10.95789061000687,37.773736606002785
4,0.9239915609359741,-0.013104411591597639,1,0.07837782945608837,3,26.878425133007113,11.109161911008414,37.98773791000713
5,0.5868878364562988,0.004226872908793711,1,0.07837782945608837,4,25.00268668300123,10.979818683001213,35.9826617600047
6,0.6449650526046753,0.1539891128601989,6,0.1539891128601989,0,25.171879522997187,11.008530837018043,36.19294875400374
7,0.5026898384094238,-0.014237775308670278,6,0.1539891128601989,1,25.195027786016,10.974353603000054,36.16953946501599
8,0.47240158915519714,0.015621213953266724,6,0.1539891128601989,2,26.788660530990455,10.988437768013682,37.777259191003395
9,0.5450078248977661,-0.015595202272400304,6,0.1539891128601989,3,26.395008881983813,11.14404675399419,37.53920073399786
10,0.4173122048377991,0.0750083399495838,6,0.1539891128601989,4,26.599928661977174,10.973823690990685,37.57390083599603
11,0.44945982098579407,-0.013305966204543721,6,0.1539891128601989,5,27.463319957983913,10.96882381499745,38.43228586399346
12,0.3945998251438141,0.10169667160223693,6,0.1539891128601989,6,26.6425638430228,10.970270977006294,37.61297226601164
