domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,uniform,combined,task,65346,0.38649690717684676,0.6473693875677164,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,uniform,combined,social,17295,0.13557069963426646,0.285226944203527,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
