epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.37531346694302203,0.8502466083297849,0.08234571115280079,0.10432201592664592,0.8952562486638754,1,0.8502466083297849,0
2,0.1778439940578902,0.8691396206943007,0.07686872672707773,0.09909188286646464,0.9100946734565205,2,0.8691396206943007,0
3,0.15609293975936833,0.8494793983886332,0.08137639870415962,0.10265279422863417,0.8908670096567999,2,0.8691396206943007,1
4,0.13830083530785434,0.8723741828766012,0.07144027218894412,0.08925781292634671,0.8910884391039318,4,0.8723741828766012,0
5,0.12518695130277036,0.8964822526654252,0.06858857929951725,0.0883540599999124,0.9078741607811107,5,0.8964822526654252,0
6,0.11661302320547957,0.8885796504330757,0.0690881608951937,0.08906866407419999,0.8974683596258465,5,0.8964822526654252,1
7,0.11566076283134631,0.8939185757927794,0.06478644694150658,0.08110684596784175,0.908918281510657,5,0.8964822526654252,2
8,0.10818596117532076,0.8539227780443884,0.07849730331277413,0.09738130997649919,0.897395896190955,5,0.8964822526654252,3
9,0.10045049595299052,0.9145522635514473,0.056265554014304206,0.07439548747871046,0.9145566879699162,9,0.9145522635514473,0
10,0.09643718133221811,0.9130029070495963,0.056039912915619855,0.0746889442697966,0.9141243469245834,9,0.9145522635514473,1
11,0.09024562831245252,0.9002261711648128,0.05995145458287925,0.07762964861993536,0.911156974704042,9,0.9145522635514473,2
12,0.09003913847368154,0.9061627423711283,0.05994434598722146,0.07677324474680865,0.9108669315817823,9,0.9145522635514473,3
13,0.0862520368241552,0.899507396460667,0.06390827591430145,0.08141409817594597,0.9058577663684614,9,0.9145522635514473,4
14,0.08422700360194961,0.9089486085147563,0.056351671577050545,0.07590044463375586,0.9108127428529713,9,0.9145522635514473,5
15,0.08219516166110537,0.9043594857422785,0.0593381535300531,0.07698837984324192,0.911438973387449,9,0.9145522635514473,6
