predicted_role,source,attention_sum,n_observations,mean_attention
expert,partner,5617.194623043556,6425000,0.0008742715366604756
expert,self,7232.805376004127,6425000,0.0011257284631913038
novice,partner,5583.384063353514,6425000,0.0008690091927398464
novice,self,7266.615934617021,6425000,0.0011309908069442834
