session_id,n_frames,class3_support,predicted_class3,precision,recall,tp,fp,fn,mean_score_true3,mean_score_not3
018,8954,436,8742,0.04987417067032716,1.0,436,8306,0,6.302622494545081e-07,5.706458530810304e-06
019,6508,0,6496,0.0,nan,0,6496,0,nan,2.863356064478381e-06
026,345,0,312,0.0,nan,0,312,0,nan,7.886224179216773e-08
059,1488,1016,1488,0.6827956989247311,1.0,1016,472,0,1.8596582784813299e-06,1.1749935479147824e-06
