mode,feature_kind,class_weight,train_rows,target_class,train_positive,fit_rows,fit_positive,val_rows,val_positive,average_precision,roc_auc,best_f1,best_precision,best_recall,best_threshold,best_predicted_positive,best_tp,best_fp,best_fn
logits_none,logits,none,384143,2,102543,152543,102543,17295,11812,0.7968146794663873,0.6531597310382571,0.8129985841074697,0.6865558471857685,0.9965289536065018,0.0018715150271316466,17145,11771,5374,41
logits_balanced,logits,balanced,384143,2,102543,152543,102543,17295,11812,0.7955282446557281,0.6550054909121251,0.8138040624568191,0.6873832866479925,0.9972062309515747,0.0009582846358441188,17136,11779,5357,33
logits_probs_none,logits_probs,none,384143,2,102543,152543,102543,17295,11812,0.7345359714416081,0.535175235167975,0.8130844346295849,0.6862368221795095,0.997460209955977,0.000938072219646059,17169,11782,5387,30
logits_probs_balanced,logits_probs,balanced,384143,2,102543,152543,102543,17295,11812,0.721792491674758,0.5099530618266019,0.813267982880022,0.6865384615384615,0.9973755502878429,0.0003894563735327918,17160,11781,5379,31
probs_none,probs,none,384143,2,102543,152543,102543,17295,11812,0.6755767594784784,0.41459591969736337,0.812450558899398,0.684180038232057,0.9999153403318659,0.0033793074404391502,17263,11811,5452,1
probs_balanced,probs,balanced,384143,2,102543,152543,102543,17295,11812,0.6750033540276941,0.41143835957819075,0.8127150130727948,0.6845155308298563,1.0,0.001593732045523927,17256,11812,5444,0
