role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,65346,0.16558979270580831,0.3325686960994261,0.4972933431094609,0.4362929636090962
purple,social,17295,0.13979443623828497,0.19430733935299466,0.37243835034969736,0.33472101763515466
yellow,task,0,nan,nan,nan,nan
yellow,social,0,nan,nan,nan,nan
