corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,121,28100,0.5333454848057294,0.08336465133625842,0.12331284762851742,0.6313642660244964
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,122,31700,0.17976399354483266,0.10986013729489565,0.143064902216069,0.2674267170246079
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,123,35150,0.6562429899233909,0.10150150631486861,0.12172951240536412,0.7215394609656298
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,124,34400,0.5229628577794851,0.07810803918449512,0.10989760593178369,0.5360223001059136
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,125,32750,0.3979125172757468,0.15783102656158668,0.18414823445643666,0.6386849453692741
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,126,30800,0.3680361129940484,0.1559638471592387,0.18460134864957928,0.632638782408994
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,143,42050,0.38544616213453076,0.09595675293551083,0.11902104988717453,0.7387758211182903
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,144,38500,0.2380103617342362,0.0980175359120907,0.13671497934976648,0.4833126867110658
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,145,54698,0.2995080991508408,0.09927324604925059,0.12333453974719603,0.5113256166621852
noxi_j,metadata_head,single_visual_videomae,identity,none,noxij,146,72600,0.39756673582878105,0.0915051911771041,0.12007570233442207,0.6356271764952162
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,121,28100,0.5506364195436091,0.07994141572653239,0.12023287329286232,0.6621257745145459
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,122,31700,0.18938372044174717,0.10890451675018403,0.14180685478915905,0.28915440692244426
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,123,35150,0.6667075768419867,0.09956677260222448,0.1189240665596678,0.7306114371105523
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,124,34400,0.5591129025827639,0.07344017676077545,0.10376817818537876,0.5796436709536227
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,125,32750,0.4116195286571581,0.15644199569552206,0.18052316677733377,0.6679100435868685
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,126,30800,0.3807539349303435,0.1548462532259549,0.18146465184055605,0.6636337537204011
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,143,42050,0.400953808711457,0.09434374346891516,0.11552594910976852,0.7704808248935753
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,144,38500,0.24761711313112997,0.09460505431030926,0.13312303674265014,0.4998582723494044
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,145,54698,0.3011064926810208,0.09605922915237829,0.12015871115589041,0.5140059274260467
noxi_j,metadata_head,single_visual_videomae,ema,0.05,noxij,146,72600,0.4011992501945877,0.08952309039847602,0.11877663532901553,0.6382348732248988
noxi_j,metadata_head,single_visual_videomae,ema,0.1,noxij,121,28100,0.5431961562270597,0.08154759567366089,0.12158692716023661,0.6483596890307154
