corpus,branch,source_mode,smoother,param,group,n_frames,ccc,mae,rmse,pearson,novice_n_frames,novice_ccc,novice_mae,novice_rmse,novice_pearson,expert_n_frames,expert_ccc,expert_mae,expert_rmse,expert_pearson
noxi_j,metadata_head,single_audio_w2vbert2,center_mean,50,overall,400748,0.6480942698958195,0.05696528779420524,0.08049604952090865,0.665455715133154,200374,0.5611368793189585,0.06469752252941723,0.08948688139543816,0.6126732398997042,200374,0.62880096292239,0.04923305305899324,0.07036565948716705,0.6487262389123233
noxi_j,metadata_head,best_single,center_mean,50,overall,400748,0.6480942698958195,0.05696528779420524,0.08049604952090865,0.665455715133154,200374,0.5611368793189585,0.06469752252941723,0.08948688139543816,0.6126732398997042,200374,0.62880096292239,0.04923305305899324,0.07036565948716705,0.6487262389123233
noxi_j,metadata_head,single_audio_w2vbert2,center_mean,100,overall,400748,0.6477881203524215,0.05632254038328019,0.07959676798081547,0.6683998753500213,200374,0.5595443015350504,0.0641160490699679,0.08847528758888315,0.6180228640327811,200374,0.6263941767557041,0.04852903169659248,0.06959464370228476,0.6528381567803275
noxi_j,metadata_head,best_single,center_mean,100,overall,400748,0.6477881203524215,0.05632254038328019,0.07959676798081547,0.6683998753500213,200374,0.5595443015350504,0.0641160490699679,0.08847528758888315,0.6180228640327811,200374,0.6263941767557041,0.04852903169659248,0.06959464370228476,0.6528381567803275
noxi_j,metadata_head,single_audio_w2vbert2,center_median,50,overall,400748,0.646050354697552,0.05706177625611191,0.08074552102691199,0.6628078714325112,200374,0.5594542885863943,0.06471038433901102,0.08968211969746094,0.6092863934480394,200374,0.6259638821776228,0.0494131681732128,0.07068801693629026,0.6454323487196469
noxi_j,metadata_head,best_single,center_median,50,overall,400748,0.646050354697552,0.05706177625611191,0.08074552102691199,0.6628078714325112,200374,0.5594542885863943,0.06471038433901102,0.08968211969746094,0.6092863934480394,200374,0.6259638821776228,0.0494131681732128,0.07068801693629026,0.6454323487196469
noxi_j,metadata_head,single_audio_w2vbert2,center_mean,25,overall,400748,0.6459810259920469,0.05743299640375372,0.08116817467287173,0.6619907975620687,200374,0.5594626179279316,0.0651393295264217,0.0902139887217313,0.6078846224190494,200374,0.6269649322994003,0.04972666328108574,0.07097873905872777,0.6443400808236344
noxi_j,metadata_head,best_single,center_mean,25,overall,400748,0.6459810259920469,0.05743299640375372,0.08116817467287173,0.6619907975620687,200374,0.5594626179279316,0.0651393295264217,0.0902139887217313,0.6078846224190494,200374,0.6269649322994003,0.04972666328108574,0.07097873905872777,0.6443400808236344
noxi_j,metadata_head,single_audio_w2vbert2,center_median,25,overall,400748,0.6448800704665164,0.05749836603694498,0.08130491786142227,0.6606289127301741,200374,0.5586340014971453,0.06515087246650596,0.0903187430707783,0.6062531534974531,200374,0.6253660411849808,0.049845859607384,0.07115830230563389,0.6425325042364358
noxi_j,metadata_head,best_single,center_median,25,overall,400748,0.6448800704665164,0.05749836603694498,0.08130491786142227,0.6606289127301741,200374,0.5586340014971453,0.06515087246650596,0.0903187430707783,0.6062531534974531,200374,0.6253660411849808,0.049845859607384,0.07115830230563389,0.6425325042364358
noxi_j,metadata_head,single_audio_w2vbert2,center_mean,12,overall,400748,0.6438779963461682,0.05781298220498957,0.08163702784404396,0.6591978351789963,200374,0.5574034089370424,0.06552771982155879,0.0907304655950109,0.6041163984629171,200374,0.6249088607300523,0.050098244588420354,0.0713946163469695,0.6410691590509607
