role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,657650,0.9328842098646802,0.03806121229408331,0.05220554611778295,0.9406334300488214
expert,1,657650,0.9291827996221634,0.033885022831027754,0.046840655084234954,0.932789283264885
