session_id,n_frames,target_support,predicted_target,precision,recall,tp,fp,fn,mean_score_target,mean_score_not_target
018,8954,5143,8836,0.5785423268447262,0.9939723896558429,5112,3724,31,0.12727692176468536,0.06656240756948682
019,6508,6508,6508,1.0,1.0,6508,0,0,0.2290515797905919,nan
026,345,0,328,0.0,nan,0,328,0,nan,0.10903313787802482
059,1488,161,1488,0.1081989247311828,1.0,161,1327,0,0.130649669966369,0.27526695407456814
