heldout_session,heldout_split,heldout_rows,heldout_positive,train_rows_available,train_positive_available,fit_rows,fit_positive,average_precision,roc_auc,positive_score_mean,negative_score_mean,best_threshold,best_precision,best_recall,best_f1,best_tp,best_fp,best_fn,best_predicted_positive
032,train,25491,51,375947,2113,52113,2113,0.01678307077627462,0.9376980823776051,0.9557450707761621,0.29688829301355923,0.9838090026107192,0.02635542168674699,0.6862745098039216,0.05076142131979696,35,1293,16,1328
045,train,35007,100,366431,2064,52064,2064,0.0014461345925919481,0.0017151287707336425,4.727875470870432e-08,0.12098464121298534,9.436308197033301e-31,0.00286000286000286,1.0,0.0057036931413089985,100,34865,0,34965
047,train,31599,561,369839,1603,51603,1603,0.6947001824311789,0.9963404068315316,0.9921340089552579,0.17099097369374533,0.9884730675329296,0.7816793893129771,0.9126559714795008,0.8421052631578947,512,143,49,655
018,val,8954,436,392484,1728,51728,1728,0.03572743616931305,0.3853951481051459,0.0003056519825283411,0.031896805536953524,2.299736540459515e-16,0.051081046908585157,0.926605504587156,0.09682444577591373,404,7505,32,7909
059,val,1488,1016,399950,1148,51148,1148,0.537069379420323,0.12440986587481648,0.001416453841201635,0.0003852634540234078,5.42661103299031e-38,0.6827956989247311,1.0,0.8115015974440895,1016,472,0,1488
