domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,role_head,combined,task,65346,0.47381929918148263,0.7360664769075383,"{""purple_task"": [0.4, 0.4, 0.2]}"
CR,role_head,combined,social,17295,0.25089854336294354,0.4414570685169124,"{""purple_social"": [0.75, 0.2, 0.05]}"
