session_id,n_frames,class3_support,predicted_class3,precision,recall,tp,fp,fn,mean_score_true3,mean_score_not3
018,8954,436,8954,0.04869332142059415,1.0,436,8518,0,2.7573308915334205e-05,0.0062168966867090026
019,6508,0,6508,0.0,nan,0,6508,0,nan,0.03653144888628668
026,345,0,345,0.0,nan,0,345,0,nan,8.049439690978415e-05
059,1488,1016,1488,0.6827956989247311,1.0,1016,472,0,0.004177764464808898,0.002162803383893881
