component_idx,explained_variance_ratio,cumulative_explained_variance
1,0.28813469409942627,0.28813469409942627
2,0.1365206092596054,0.4246553033590317
3,0.10258471220731735,0.527240015566349
4,0.07119929045438766,0.5984393060207367
5,0.052417464554309845,0.6508567705750465
6,0.04596460238099098,0.6968213729560375
7,0.03233303129673004,0.7291544042527676
8,0.025660192593932152,0.7548145968466997
