domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CC,metadata_router,combined,task,215692,0.3471544460892469,0.5907405003430818,"{""task"": [0.6744269132614136, 0.17636509239673615, 0.14920786023139954]}"
CC,metadata_router,combined,social,184616,0.28969005781416596,0.5611647961173463,"{""social"": [0.7049100995063782, 0.28784868121147156, 0.007241257932037115]}"
