domain,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,task,65346,0.06070769428778142,0.23029922533334984,0.6191436957662092,0.7183148165151654
CR,social,17295,0.028713061288201253,0.0941397456433828,0.07802957087679475,0.11656548135299219
