domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,role_head,combined,task,65346,0.44589850462888686,0.7222630306369173,"{""purple_task"": [0.55, 0.45, 0.0]}"
CR,role_head,combined,social,17295,0.38306461135207026,0.5888985255854293,"{""purple_social"": [0.65, 0.35, 0.0]}"
