domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.23704606191853564,0.7008233097664739,"{""task"": [0.3080250918865204, 0.3130796253681183, 0.37889528274536133]}"
CR,metadata_router,combined,social,17295,-0.003716533839148519,0.05313674472390864,"{""social"": [0.2073981910943985, 0.11692262440919876, 0.6756793856620789]}"
