domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_uniform,combined,task,65346,0.33192773221064337,0.7408104551158449,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,prob_uniform,combined,social,17295,0.03603190401879717,0.16877710320901995,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
