domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_shared,combined,task,65346,0.527560318818192,0.7740795151960335,"{""all"": [0.95, 0.0, 0.05]}"
CR,prob_shared,combined,social,17295,0.1443435076851482,0.29083550159005495,"{""all"": [0.95, 0.0, 0.05]}"
