role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,962472,0.6073591498467257,0.08522490412705538,0.11106460235679028,0.6310088007489519
expert,1,962509,0.6677484508173451,0.08606575871986384,0.11159615466093245,0.6877976003318925
