group,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
overall,task,65346,0.1930943382923537,0.3575039927651198,0.5499272366672432,0.4929911547761148
overall,social,17295,0.08454934321094688,0.16941498475829248,0.3666383666539948,0.2886383347788378
