domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_uniform,combined,task,65346,0.49869849927734927,0.7486915802038381,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,prob_uniform,combined,social,17295,0.10471450281933883,0.19479618386817,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
