role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.8944371573611285,0.0632346966974131,0.08748995715737751,0.8987625663815328
expert,1,488942,0.8466681675639073,0.06254068718552437,0.08476366986812742,0.8499088059226344
