role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,104317,0.12183507616485546,0.32134846650476234,0.4882043691511774,0.48758112292339695
purple,social,90804,0.11584755910248826,0.29118673157435865,0.44125646077024566,0.4325249988987269
yellow,task,111375,0.08533710969957381,0.27991378179985427,0.44914304193995613,0.5007227833894501
yellow,social,93812,0.08338163261431307,0.21247362251532925,0.3361166316552505,0.328550718458193
