mode,fit_split,optimistic,group,n_frames,ccc,mae,rmse,pearson,novice_n_frames,novice_ccc,novice_mae,novice_rmse,novice_pearson,expert_n_frames,expert_ccc,expert_mae,expert_rmse,expert_pearson
single_visual_videomae,none,no,overall,400748,0.4233037332152725,0.10537156888182556,0.13660330620252836,0.48768982531826416,200374,0.32296324255612624,0.12560023895205563,0.15434796395784203,0.4538866696258727,200374,0.34999764452681936,0.08514289881159548,0.11617931206971471,0.358932695589025
single_audio_w2vbert2,none,no,overall,400748,0.6388553990763968,0.05854269717289057,0.0825661884364564,0.6530839052169679,200374,0.5521894187154047,0.06629473162536824,0.0917486795225183,0.5961095844206822,200374,0.6196485358830264,0.05079066272041289,0.07222555470000268,0.6340467864493801
single_text_xlm_roberta,none,no,overall,400748,0.43409922788107824,0.07251476426493825,0.10324936937650908,0.4391144762568368,200374,0.3495914096826255,0.07738360600551003,0.11114359497504357,0.35792846947237217,200374,0.38446037957145585,0.06764592252436645,0.09469934450310144,0.3888624331978485
best_single,none,no,overall,400748,0.6388553990763968,0.05854269717289057,0.0825661884364564,0.6530839052169679,200374,0.5521894187154047,0.06629473162536824,0.0917486795225183,0.5961095844206822,200374,0.6196485358830264,0.05079066272041289,0.07222555470000268,0.6340467864493801
uniform,fixed,no,overall,400748,0.6076857153215268,0.06417330633616337,0.08545443247655848,0.6417087390777366,200374,0.5134921661936379,0.07473141940367459,0.0946788228694388,0.6276257362527335,200374,0.5580457099119946,0.05361519326865216,0.075105529489105,0.5872643991022286
shared,train_internal,no,overall,400748,0.5887241735513011,0.05857338501558536,0.08326501012189025,0.6141538442166821,200374,0.5027572218144647,0.0640821277789254,0.09072740547850211,0.5529442147536725,200374,0.5506543678588105,0.053064642252245324,0.0750643838070788,0.5827737624401897
role,train_internal,no,overall,400748,0.5930638088428982,0.059249100716939854,0.08321439315372432,0.6196183153938681,200374,0.517591728617967,0.06430548944042168,0.08931508104271724,0.5811667681662892,200374,0.5351519240815651,0.05419271199345804,0.07662954230724633,0.5644588526358125
val_shared_upper,val_internal,yes,overall,400748,0.6469224405317957,0.056585427002644045,0.07836777098791943,0.6775335056708681,200374,0.5589797839847662,0.0646247140418973,0.08677205565791841,0.6425328797729182,200374,0.6167903239519094,0.04854613996339078,0.06894654027671787,0.6563630367971679
val_role_upper,val_internal,yes,overall,400748,0.6453187522401111,0.05571871362102892,0.07816881342897145,0.6742800024129977,200374,0.5530485003408255,0.06336783874249449,0.08672701018386433,0.625133252967914,200374,0.626413285450243,0.048069588499563366,0.06855036462597836,0.6621331970931472
