role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,65346,0.10961161580603597,0.2439626561419865,0.5839842209012053,0.6134116854895479
purple,social,17295,0.21861904840210977,0.26234608487746564,0.6029288877986717,0.7062734894478173
yellow,task,0,nan,nan,nan,nan
yellow,social,0,nan,nan,nan,nan
