session_id,n_frames,target_support,predicted_target,precision,recall,tp,fp,fn,mean_score_target,mean_score_not_target
018,8954,5143,8853,0.5802552806958093,0.9988333657398406,5137,3716,6,0.21154010424949654,0.10392215414883671
019,6508,6508,6473,1.0,0.9946220036877689,6473,0,35,0.33966733718698777,nan
026,345,0,331,0.0,nan,0,331,0,nan,0.13234619591181537
059,1488,161,1488,0.1081989247311828,1.0,161,1327,0,0.11296216637966884,0.29387963790053245
