session_id,n_frames,target_support,predicted_target,precision,recall,tp,fp,fn,mean_score_target,mean_score_not_target
018,8954,5143,8936,0.5754252461951657,0.9998055609566401,5142,3794,1,0.2684770730765944,0.39527957002686587
019,6508,6508,6508,1.0,1.0,6508,0,0,0.3112007505738569,nan
026,345,0,345,0.0,nan,0,345,0,nan,0.2679167829597536
059,1488,161,1474,0.10922659430122117,1.0,161,1313,0,0.09198200229448605,0.31153951395945384
