mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hmm_uniform_start,mix=0.75;strength=12;alpha=1,0.33357444758123467,0.4101589899869893,0.371866718784112,590,73,663,267
hmm_uniform_start,mix=1;strength=4;alpha=1,0.3332772638600223,0.4044222410672121,0.3688497524636172,551,79,630,267
hmm_uniform_start,mix=1;strength=12;alpha=1,0.32920727480141515,0.4074178513369293,0.36831256306917226,245,43,288,267
hmm_uniform_start,mix=1;strength=8;alpha=1,0.32701310701321273,0.4073136053910176,0.36716335620211515,341,57,398,267
hmm_uniform_start,mix=0.75;strength=8;alpha=1,0.32977634142392553,0.39972164708509866,0.3647489942545121,760,100,860,267
hmm_uniform_start,mix=0.5;strength=12;alpha=1,0.32903358495224566,0.4002592974159871,0.3646464411841164,782,105,887,267
hmm_uniform_start,mix=1;strength=2;alpha=1,0.32564763796276175,0.3952990808440781,0.36047335940341996,872,117,989,267
hmm_uniform_start,mix=0.5;strength=8;alpha=1,0.3226590196307857,0.3915120605544288,0.35708554009260723,1043,133,1176,267
hmm_uniform_start,mix=0.25;strength=12;alpha=1,0.32097991592078273,0.38908782687738486,0.3550338713990838,1193,147,1340,267
hmm_uniform_start,mix=0.75;strength=4;alpha=1,0.3206228115070171,0.38899938298501013,0.3548110972460136,1212,147,1359,267
hmm_uniform_start,mix=1;strength=1;alpha=1,0.3193580925651115,0.3858703448670777,0.3526142187160946,1391,171,1562,267
hmm_uniform_start,mix=0.25;strength=8;alpha=1,0.318489622623284,0.38549546216111436,0.3519925423921992,1532,177,1709,267
hmm_uniform_start,mix=0.5;strength=4;alpha=1,0.31829201984041555,0.38316581217263096,0.35072891600652323,1593,188,1781,267
hmm_uniform_start,mix=0.75;strength=2;alpha=1,0.31569906338447207,0.3813971249093436,0.3485480941469078,1806,207,2013,267
hmm_uniform_start,mix=1;strength=0.5;alpha=1,0.31547083682868304,0.3780460568936097,0.3467584468611464,2002,226,2228,267
hmm_uniform_start,mix=0.25;strength=4;alpha=1,0.31353781210978793,0.37649547528781047,0.3450166436987992,2157,239,2396,267
hmm_uniform_start,mix=0.5;strength=2;alpha=1,0.31271705341455475,0.376237704689697,0.34447737905212583,2237,246,2483,267
hmm_uniform_start,mix=0.75;strength=1;alpha=1,0.31156307893372726,0.3758917597911183,0.3437274193624228,2506,275,2781,267
hmm_uniform_start,mix=1;strength=0.25;alpha=1,0.3109340952462194,0.37474274503442323,0.3428384201403213,2747,304,3051,267
hmm_uniform_start,mix=0.25;strength=2;alpha=1,0.30953695612657706,0.3742544811572921,0.3418957186419346,2961,320,3281,267
hmm_uniform_start,mix=0.5;strength=1;alpha=1,0.30891202850012933,0.37445096811937834,0.3416814983097538,3037,326,3363,267
hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,0.30785145635563504,0.37254611845200303,0.34019878740381904,3282,354,3636,267
hmm_uniform_start,mix=0.25;strength=1;alpha=1,0.3074572686149558,0.3710679875366703,0.3392626280758131,3620,400,4020,267
hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,0.30732592480984167,0.37103972592521284,0.33918282536752725,3669,400,4069,267
hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,0.3077569505038712,0.37060621864068655,0.33918158457227887,3941,419,4360,267
hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,0.30723468693165007,0.3689684158888126,0.33810155141023135,4293,459,4752,267
hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,0.30726212707800205,0.3687985344269973,0.33803033075249966,4231,457,4688,267
hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,0.30670944588030746,0.36694519233017436,0.3368273191052409,4699,508,5207,267
baseline,none,0.3052821851657471,0.3660652502994585,0.3356737177326028,6154,641,6795,267
