role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,962488,0.8985095094103145,0.04189004458034369,0.05478980375994302,0.8990771472201314
expert,1,962525,0.8813814955993705,0.05118809014659788,0.0654975810124475,0.8864390241519682
