scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,184616,0.6339049703167656,0.4359064427588295,14,184602,88,939,0.00047670122750566085,0.00508661877986154,10.670454545454545
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,215692,0.5585835357825046,0.34981871239983076,14,215678,148,824,0.0006862081436215099,0.003820510205027866,5.5675675675675675
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,184616,0.6434761884127053,0.4490876112150935,14,184602,88,644,0.00047670122750566085,0.0034885862558368813,7.318181818181818
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,215692,0.5581199117259796,0.34903363858594844,14,215678,148,580,0.0006862081436215099,0.0026891940763545657,3.918918918918919
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,184616,0.6543690687697707,0.46365166498363153,14,184602,88,425,0.00047670122750566085,0.0023022502464762028,4.829545454545454
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,215692,0.5542857407785176,0.34499406714304515,14,215678,148,472,0.0006862081436215099,0.0021884475931713016,3.189189189189189
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,184616,0.6653919486935044,0.47867879312387446,14,184602,88,307,0.00047670122750566085,0.0016630372368663395,3.4886363636363638
CC,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,215692,0.5483652615766927,0.33709733535598035,14,215678,148,1652,0.0006862081436215099,0.007659566576099556,11.162162162162161
CC,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,184616,0.627654157819474,0.4278402220483773,14,184602,88,1380,0.00047670122750566085,0.007475541976793318,15.681818181818182
CC,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,215692,0.5522782486137641,0.3420691547035038,14,215678,148,1267,0.0006862081436215099,0.005874498094381439,8.56081081081081
CC,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,184616,0.6321608094639685,0.43381707820297644,14,184602,88,1041,0.00047670122750566085,0.005639158839015829,11.829545454545455
