role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.896104734313971,0.05793019545485703,0.08176785745647214,0.8962263103359249
expert,1,488942,0.8257095923303819,0.06724751349217402,0.0893572249937598,0.8436370334249824
