epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.38216792947765604,0.7747932504444407,0.10198079807871112,0.12305181423366841,0.8257568766734231,1,0.7747932504444407,0
2,0.22676450158677883,0.7862851440445435,0.10109078764863111,0.1242554794381198,0.8342859222373914,2,0.7862851440445435,0
3,0.20686827978091454,0.8657672925941383,0.06679333594167979,0.09097733588126775,0.8705151955216868,3,0.8657672925941383,0
4,0.19038244703812385,0.8739121738356913,0.0643435697984541,0.08634336207730416,0.8778113181023144,4,0.8739121738356913,0
5,0.17724579939646506,0.8599480372979387,0.07452817375063216,0.09743213708243027,0.8668254631891557,4,0.8739121738356913,1
6,0.16541793586602851,0.8796498944590253,0.06678154474983822,0.08853516533261917,0.8845299519920538,6,0.8796498944590253,0
7,0.16419296122308988,0.8675351525660282,0.06893616653422008,0.0892615451697192,0.8746993985117035,6,0.8796498944590253,1
8,0.15360424678717086,0.8547992159478739,0.07201123801584028,0.09354496515474053,0.8631826874174934,6,0.8796498944590253,2
9,0.14583312775661697,0.8380953169713681,0.08250122776450654,0.10490894342920164,0.8697035544315038,6,0.8796498944590253,3
10,0.14170679961567495,0.8645672429821742,0.07024126036601791,0.09617309403625027,0.8665194726698358,6,0.8796498944590253,4
11,0.13605872786311962,0.8675159040964402,0.06901827585396847,0.09400432003708521,0.8683383976498198,6,0.8796498944590253,5
12,0.12786059415162498,0.8835166159869151,0.06258885447351552,0.0856466466699291,0.8859934593186998,12,0.8835166159869151,0
13,0.12290868140868287,0.8659691629127131,0.07074142716868141,0.0942338324635448,0.8739071455081896,12,0.8835166159869151,1
14,0.12141485300971501,0.8715476552524803,0.0716355982022817,0.0915128126600305,0.8865265248778584,12,0.8835166159869151,2
15,0.11368687328562807,0.8417698480921596,0.07513610486622768,0.0975967715574927,0.8568075166286182,12,0.8835166159869151,3
16,0.10866103432516554,0.874245949772525,0.06440706916290477,0.08707923977156505,0.8764626928572811,12,0.8835166159869151,4
17,0.10682310564304466,0.8603580073829051,0.06866586051199536,0.09057151018065057,0.8711548263132931,12,0.8835166159869151,5
18,0.09972951283205801,0.874124634141147,0.06426482594701353,0.0896367812522457,0.8775667013721979,12,0.8835166159869151,6
