domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CC,baseline,none,task,215692,0.5897668898243792,0.34220305796378864,14,215678,148,3515,0.0006862081436215099,0.01629744341101086,23.75,3367
CC,baseline,none,social,184616,0.5775826580578065,0.3024590032134306,14,184602,88,3580,0.00047670122750566085,0.019393072664434838,40.68181818181818,3492
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,215692,0.608182037349554,0.36417043749915984,14,215678,148,610,0.0006862081436215099,0.00282829032168325,4.121621621621622,462
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,184616,0.5905176149412835,0.31736293190268783,14,184602,88,404,0.00047670122750566085,0.002188491999003261,4.590909090909091,316
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,215692,0.6124149249856277,0.36847371695097475,14,215678,148,465,0.0006862081436215099,0.0021559918025946087,3.141891891891892,317
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,184616,0.597234259219136,0.3260193086290212,14,184602,88,308,0.00047670122750566085,0.001668454296269813,3.5,220
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,215692,0.613606438810897,0.3687087103516379,14,215678,148,395,0.0006862081436215099,0.0018314338968276782,2.668918918918919,247
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,184616,0.597586341378862,0.3250125651048742,14,184602,88,258,0.00047670122750566085,0.001397601326096142,2.9318181818181817,170
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,215692,0.621103239804907,0.3784409400809601,14,215678,148,318,0.0006862081436215099,0.0014744202004840549,2.1486486486486487,170
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,184616,0.6000563331455562,0.3244583250911915,14,184602,88,197,0.00047670122750566085,0.0010671607024842634,2.2386363636363638,109
CC,hmm_uniform_start,mix=1;strength=4;alpha=1,task,215692,0.6205886171021642,0.3785955735861297,14,215678,148,298,0.0006862081436215099,0.001381689370264932,2.0135135135135136,150
CC,hmm_uniform_start,mix=1;strength=4;alpha=1,social,184616,0.5991517528274906,0.3232422251049179,14,184602,88,185,0.00047670122750566085,0.0010021559896425825,2.102272727272727,97
CC,hmm_uniform_start,mix=1;strength=6;alpha=1,task,215692,0.6277237913320847,0.38821004524252284,14,215678,148,237,0.0006862081436215099,0.001098860338096607,1.6013513513513513,89
CC,hmm_uniform_start,mix=1;strength=6;alpha=1,social,184616,0.6157700307665641,0.34729096600105924,14,184602,88,128,0.00047670122750566085,0.0006933836036445975,1.4545454545454546,40
CC,hmm_uniform_start,mix=1;strength=8;alpha=1,task,215692,0.6348636018025703,0.3938009819067883,14,215678,148,207,0.0006862081436215099,0.0009597640927679226,1.3986486486486487,59
CC,hmm_uniform_start,mix=1;strength=8;alpha=1,social,184616,0.6175033583221389,0.3479564151242927,14,184602,88,103,0.00047670122750566085,0.0005579571185577621,1.1704545454545454,15
CC,hmm_uniform_start,mix=1;strength=12;alpha=1,task,215692,0.6414377909240955,0.3997977943332439,14,215678,148,152,0.0006862081436215099,0.0007047543096653344,1.027027027027027,4
CC,hmm_uniform_start,mix=1;strength=12;alpha=1,social,184616,0.6166096113012957,0.34074430668939887,14,184602,88,76,0.00047670122750566085,0.0004116965146639798,0.8636363636363636,-12
CC,baseline,none,mean,400308,0.5836747739410928,0.3223310305886096,28,400280,236,7095,0.0005895872888977715,0.017725092435295294,30.0635593220339,6859
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,400308,0.6105797864752316,0.35144963258607576,28,400280,236,515,0.0005895872888977715,0.0012865993804336965,2.1822033898305087,279
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,400308,0.5993498261454188,0.34076668470092386,28,400280,236,1014,0.0005895872888977715,0.0025332267412811033,4.296610169491525,778
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,mean,400308,0.6048245921023818,0.34724651278999796,28,400280,236,773,0.0005895872888977715,0.0019311481962626161,3.2754237288135593,537
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,400308,0.6055963900948795,0.34686063772825604,28,400280,236,653,0.0005895872888977715,0.001631358049365444,2.766949152542373,417
CC,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,400308,0.6290237011126956,0.37027105051132136,28,400280,236,228,0.0005895872888977715,0.0005696012791046268,0.9661016949152542,-8
CC,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,400308,0.6098701849648274,0.3509188993455238,28,400280,236,483,0.0005895872888977715,0.0012066553412611173,2.0466101694915255,247
CC,hmm_uniform_start,mix=1;strength=6;alpha=1,mean,400308,0.6217469110493243,0.367750505621791,28,400280,236,365,0.0005895872888977715,0.0009118616968122314,1.5466101694915255,129
CC,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,400308,0.6261834800623546,0.3708786985155405,28,400280,236,310,0.0005895872888977715,0.000774457879484361,1.3135593220338984,74
