group,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
overall,task,215692,0.3321814466070113,0.4247927228316002,0.5767576049601281,0.5461491385865029
overall,social,184616,0.40289260097251395,0.4253865530879393,0.6180588615185191,0.6098658837803874
