domain,head,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips,mean_abs_flip_gap_per_sequence
CR,social,4,17291,6,192,0.0003470013301717657,0.011104042565496502,32.0,186,46.5
CR,task,5,65341,25,643,0.00038260816332777274,0.009840681960790316,25.72,618,123.6
