domain,head,class,support,precision,recall,f1,true_positive,false_positive
CR,task,0,47407,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631
CR,task,1,4384,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918
CR,task,2,1298,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869
CR,task,3,12257,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038
CR,social,0,954,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863
CR,social,1,3077,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939
CR,social,2,11812,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106
CR,social,3,1452,nan,0.0,nan,0,0
CR,social,4,0,nan,nan,nan,0,0
