domain,head,age_bin,gender,n_frames,accuracy,kappa
CR,social,6-7,2,10442,0.3515610036391496,0.21584319929951715
CR,social,>=8,1,6853,0.1044797898730483,-0.017398818292338206
CR,task,6-7,2,48496,0.7808891454965358,0.5103657354773551
CR,task,>=8,1,16850,0.8320474777448071,0.6779555790421564
