domain,session_id,role,head,n_frames,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,014,purple,task,16817,16816,2,205,0.00011893434823977165,0.012190770694576594,102.5,203
CR,018,purple,social,8954,8953,3,86,0.0003350832123310622,0.00960571875349045,28.666666666666668,83
CR,018,purple,task,26399,26398,5,196,0.00018940828850670506,0.0074248049094628385,39.2,191
CR,019,purple,social,6508,6507,0,86,0.0,0.013216536038112802,inf,86
CR,019,purple,task,10718,10717,8,160,0.000746477559018382,0.01492955118036764,20.0,152
CR,026,purple,social,345,344,0,3,0.0,0.00872093023255814,inf,3
CR,026,purple,task,6132,6131,4,65,0.0006524221171097701,0.010601859403033763,16.25,61
CR,059,purple,social,1488,1487,3,17,0.0020174848688634837,0.011432414256893073,5.666666666666667,14
CR,059,purple,task,5280,5279,6,17,0.0011365788975184693,0.0032203068763023298,2.8333333333333335,11
