domain,session_id,head,n_frames,accuracy,kappa
CR,014,task,16817,0.6978057917583398,0.14626810631675938
CR,018,task,26399,0.813932345922194,0.626004032025656
CR,018,social,8954,0.37525128434219346,0.21979615004004788
CR,019,task,10718,0.8103190893823474,0.6358661656511355
CR,019,social,6508,0.09342347879532882,0.0
CR,026,task,6132,0.8700260926288323,0.7330591391065966
CR,026,social,345,0.3130434782608696,0.0
CR,059,task,5280,0.8803030303030303,0.7557450378025133
CR,059,social,1488,0.20900537634408603,0.01832551413341407
