domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CC,metadata_router,combined,task,215692,0.3440909016093883,0.5889601839660257,"{""task"": [0.6893050670623779, 0.18187996745109558, 0.12881498038768768]}"
CC,metadata_router,combined,social,184616,0.29151933809369257,0.5623293755687481,"{""social"": [0.6985677480697632, 0.2949742078781128, 0.0064580999314785]}"
