domain,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CC,task,215692,0.24115753039821644,0.36217911668807024,0.5213824030230179,0.5166765573132058
CC,social,184616,0.1916571380186476,0.3084456102855607,0.5042133741649923,0.5085041383195389
CR,task,65346,0.32405882044389345,0.3915405604179042,0.7078863686676928,0.7311541639886144
CR,social,17295,0.15107199126164444,0.25234220268098123,0.5847268451000219,0.6723330442324371
