role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.9011484110352183,0.06647128497160741,0.08616492564281696,0.9159469894730036
expert,1,488942,0.874882782525097,0.06471382647987076,0.08332222741162053,0.8779999336676456
