dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8030480430608938,0.07336477474466267,0.0924338567226756,0.824081273461538
noxij,400748,0.7557836825452078,0.0543994184032684,0.0722782105751254,0.7605202496301064
