session_id,n_frames,target_support,predicted_target,precision,recall,tp,fp,fn,mean_score_target,mean_score_not_target
018,8954,5143,8841,0.5783282434113788,0.9941668286992028,5113,3728,30,0.19983331773199428,0.11415665243522784
019,6508,6508,6508,1.0,1.0,6508,0,0,0.30054703837229985,nan
026,345,0,332,0.0,nan,0,332,0,nan,0.157229511401624
059,1488,161,1488,0.1081989247311828,1.0,161,1327,0,0.1899815276351917,0.34135758743639155
