role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,200374,0.5839888574449513,0.0771274144818629,0.10117819356774403,0.5980031605605103
expert,1,200374,0.5671892696092513,0.07747236378375284,0.10177882796370509,0.6045701886456051
